0  -172	0	-25	-18	-158	-4
131328	-7388	-2744	-7241	-2545	4304	-1817
131840	-6744	-3268	-6145	-7582	-9815	-2097
132352	-5756	-1004	-6093	3851	1664	2488
132864	-6468	-3964	-5989	243	3920	-864
133408	-6288	-3624	-8265	-1493	3249	570
133920	-6440	-3920	-5869	-14	-1340	-1537
134432	-7964	1428	-6933	1070	4952	13953
134976	-8568	-3608	-6237	-2983	-14678	6954
135488	-7400	-2564	-6553	1437	-4079	20
136000	-8500	-2204	-3293	18889	-32516	-13442
136544	-7112	-4284	-3605	13609	-2860	7690
137056	-9716	3884	-8117	-8406	-25753	-22064
137568	-4528	-4372	-3629	-294	-7214	-5093
138112	-4376	-4228	-1413	-1884	7321	125
138624	-4564	-3008	-2553	937	-1297	-262
139136	-4900	-3900	-2373	-1423	2012	-1406
139648	-5356	-3028	-3089	-356	790	-1300
140192	-5200	-2564	-3741	317	-729	409
140704	-5772	-2960	-3517	-151	2757	3336
141216	-5792	-3112	-3489	-264	270	-617
141760	-5688	-3164	-3601	102	1032	309
142272	-5404	-2700	-3621	783	-2942	-656
142784	-5672	-2548	-3481	84	-371	678
143328	-5736	-2496	-3053	425	-2493	-2076
143840	-5560	-2856	-3585	-403	2569	-1256
144352	-4992	-3552	-3925	462	-3076	-680
144896	-5532	-2828	-4037	-500	319	-1872
145408	-5772	-2492	-3725	10	752	-248
145920	-6000	-2380	-3489	-133	1402	-418
146432	-5984	-1840	-4221	7512	-963	-730
146976	-6920	-2288	-3449	-1232	-7670	-8313
147488	-6728	-2672	-3409	1496	-4159	2930
148000	36	-560	-1745	11648	-2750	-7236
148544	-9696	788	-6669	-17626	15308	21744
149056	-7808	-7120	-1101	19329	-32516	-17917
149568	5080	2452	619	-3569	4212	-4479
150112	1188	1752	-5041	-23525	24426	4166
150624	-7400	-308	3447	32335	-32516	13350
151136	6108	4128	-11113	-28390	11203	-6380
151680	-5228	-1464	-3949	3790	-8260	-2118
152192	4544	-464	-6769	16322	-18530	8977
152704	-4120	-1320	-2469	-4053	8364	6571
153216	124	-5180	-10829	-15395	1933	-10380
153760	-4420	-9864	-7337	25984	-21223	20501
