0  364	-127	82	367	148	-34
26048	-360	-611	110	165	-69	120
26144	-384	-1215	122	-196	-617	386
26272	-256	-1659	-550	-596	229	-434
26400	-204	-1503	98	-481	-298	37
26496	-188	-1835	34	-231	-361	270
26624	-252	-1959	-238	-448	193	-19
26752	-312	-1799	214	-294	-262	-494
26848	-148	-1547	38	-57	-320	-312
26976	-248	-1463	138	-232	-427	-254
27104	-260	-1655	-430	-80	607	-296
27200	-280	-1011	70	-267	-266	289
27328	-252	-1567	-866	-52	785	32
27456	-304	-1443	-222	302	-266	-57
27552	-356	-1363	-110	-608	-631	-570
27680	-260	-2291	-26	-186	-109	120
27808	-288	-1411	-390	194	205	-112
27936	-188	-1375	-266	104	415	76
28032	-244	-1779	-298	2	403	-45
28160	-216	-1751	-618	23	279	-88
28288	-188	-1219	-58	-274	95	-507
28384	68	-2011	-534	-511	-21	-387
28512	-240	-1739	-126	-100	38	36
28640	-332	-1447	166	-611	-440	-666
28736	-252	-1975	2182	1233	-1770	223
28864	1164	-1951	-3614	4658	-12509	-3122
28992	3336	-823	-126	954	-26765	-6894
29088	6420	1065	-3778	5941	-11698	-689
29216	8448	-267	-5698	3999	-9943	-36
29344	8612	-1615	-9834	-1350	-5707	-1484
29440	3296	5337	26682	12387	-32445	2121
29568	3956	617	-7266	2110	-32445	6290
29696	3132	-3763	23097	-9093	8332	520
29792	3600	-207	766	-2598	-3409	-3331
29920	3680	-179	-362	7	3985	657
30048	3168	-243	-1838	741	6891	1013
30144	2564	-919	1018	-287	3768	825
30272	2268	-951	-74	-61	3357	304
30400	2044	-239	1806	-375	-1563	454
30496	1964	-1231	946	-522	-689	640
